Pfr_ID,HOF,Age,All_Pro,Pro_Bowl,First_Team,G,Cmp,Pass_Att,Pass_Yds,Pass_TD,Pass_Int,Rush_Att,Rush_Yds,Rush_TDs,Rec,Rec_Yds,Rec_TDs,Tackles,Def_Int,Sacks
JohnDu00,No,22,0,0,0,27,,,,,,155,636,1,103,918,2,,,
GoldEd00,No,21,0,0,1,18,,,,,,,,,,,,22,,6
RobiEd00,No,23,0,0,0,17,,,,,,,,,,,,4,,
HaroEl00,No,21,0,0,0,26,,,,,,,,,,,,24,,1
FlowEr00,No,21,0,0,2,25,,,,,,,,,1,-11,0,,,
KendEr00,No,23,0,0,1,24,,,,,,,,,,,,115,1,4
RoweEr00,No,22,0,0,0,20,,,,,,,,,,,,35,1,
SpenEv00,No,,0,0,0,1,,,,,,,,,,,,,,
ClarFr01,No,22,0,0,0,24,,,,,,,,,,,,31,,10.5
WrigGa00,No,23,0,0,0,10,,,,,,,,,,,,7,,
GrayGa00,No,24,0,0,0,1,,,,,,,,,,,,,,
GrisGe00,No,23,0,0,0,20,,,,,,,,,,,,3,,1
SwaiGe00,No,24,0,0,0,13,,,,,,,,,7,69,0,,,
ChriGe00,No,24,0,0,0,2,,,,,,,,,,,,,,
DaviGe00,No,23,0,0,0,10,,,,,,,,,2,21,0,,,
HollGe00,No,21,0,0,0,,,,,,,,,,,,,,,
JarrGr00,No,22,0,0,0,25,,,,,,,,,,,,27,,3
KikaHa00,No,23,0,0,1,15,,,,,,,,,,,,32,,4
PullHa00,No,,0,0,0,18,,,,,,,,,,,,14,,
AndeHe00,No,24,0,0,1,15,,,,,,,,,,,,21,,1
GrasHr00,No,24,0,0,1,8,,,,,,,,,,,,,,
SilbIa00,No,22,0,0,0,1,,,,,,,,,,,,,,
CampIb00,No,23,0,0,0,24,,,,,,,,,,,,31,,
EkprIf00,No,22,0,0,0,,,,,,,,,,,,,,,
ShepJa00,No,,0,0,0,4,,,,,,,,,,,,,,
StroJa01,No,21,0,0,0,18,,,,,,,,,28,292,3,,,
FishJa00,No,22,0,0,0,23,,,,,,,,,1,31,0,,,
RodgJa02,No,,0,0,0,,,,,,,,,,,,,,,
RyanJa00,No,23,0,0,0,23,,,,,,,,,,,,71,,
CollJa02,No,22,0,0,0,19,,,,,,,,,,,,19,,
FowlJa00,No,25,0,0,0,27,,,,,,7,13,1,6,58,1,,,
WinsJa00,No,21,0,1,2,26,540,913,6722,42,25,86,311,7,,,,,,
O'ShJa00,No,23,0,0,0,17,,,,,,,,,7,87,0,,,
SampJa00,No,23,0,0,0,4,,,,,,,,,,,,8,,
DougJa00,No,23,0,0,0,17,,,,,,,,,,,,,,
CrowJa00,No,22,0,0,0,27,0,1,0,0,0,4,0,0,114,1329,8,,,
BrowJa04,No,22,0,0,0,14,,,,,,,,,,,,,,
TartJa00,No,23,0,0,1,24,,,,,,,,,,,,62,1,2
HarrJa02,No,23,0,0,0,,,,,,,,,,,,,,,
AlleJa01,No,24,0,0,0,23,,,,,,146,548,1,48,368,2,,,
